time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
0.000000,-0.000119,-0.785245,0.000142,-2.356084,0.001010,1.571380,0.784250
33298176.000000,-0.000124,-0.785247,0.000145,-2.356087,0.001011,1.571381,0.784252
66837504.000000,-0.000125,-0.785245,0.000142,-2.356088,0.001010,1.571379,0.784253
100135680.000000,-0.000125,-0.785244,0.000142,-2.356090,0.001011,1.571380,0.784255
133449216.000000,-0.000120,-0.785250,0.000142,-2.356087,0.001011,1.571380,0.784254
166640640.000000,-0.000124,-0.785246,0.000140,-2.356088,0.001007,1.571379,0.784254
199997184.000000,-0.000124,-0.785249,0.000142,-2.356088,0.001011,1.571381,0.784257
233383936.000000,-0.000124,-0.785247,0.000140,-2.356088,0.001010,1.571381,0.784256
266727168.000000,-0.000119,-0.785247,0.000140,-2.356083,0.001012,1.571380,0.784254
300080384.000000,-0.000122,-0.785250,0.000142,-2.356090,0.001010,1.571381,0.784254
333440256.000000,-0.000122,-0.785247,0.000140,-2.356087,0.001008,1.571381,0.784248
366725120.000000,-0.000127,-0.785247,0.000140,-2.356088,0.001011,1.571381,0.784252
400175616.000000,-0.000125,-0.785239,0.000140,-2.356088,0.001011,1.571380,0.784251
433321984.000000,-0.000127,-0.785242,0.000137,-2.356083,0.001009,1.571381,0.784251
466516992.000000,-0.000122,-0.785247,0.000142,-2.356085,0.001009,1.571379,0.784254
500167424.000000,-0.000127,-0.785242,0.000145,-2.356085,0.001011,1.571382,0.784252
533457664.000000,-0.000127,-0.785243,0.000145,-2.356088,0.001011,1.571380,0.784254
567046144.000000,-0.000124,-0.785245,0.000142,-2.356087,0.001009,1.571380,0.784254
600151040.000000,-0.000124,-0.785240,0.000140,-2.356089,0.001010,1.571380,0.784255
633754624.000000,-0.000125,-0.785242,0.000146,-2.356085,0.001011,1.571381,0.784255
666712576.000000,-0.000122,-0.785252,0.000145,-2.356087,0.001010,1.571381,0.784254
700052992.000000,-0.000122,-0.785242,0.000143,-2.356088,0.001011,1.571380,0.784253
733454592.000000,-0.000122,-0.785242,0.000143,-2.356088,0.001011,1.571380,0.784253
