time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
0.000000,-0.000675,-0.785026,-0.002450,-2.356195,0.000856,1.571102,0.784271
34260480.000000,-0.000687,-0.785021,-0.002450,-2.356195,0.000854,1.571098,0.784271
68247296.000000,-0.000687,-0.785023,-0.002453,-2.356193,0.000855,1.571098,0.784271
101998592.000000,-0.000679,-0.785031,-0.002451,-2.356195,0.000852,1.571099,0.784271
136189696.000000,-0.000679,-0.785024,-0.002450,-2.356198,0.000853,1.571097,0.784273
170042112.000000,-0.000679,-0.785023,-0.002453,-2.356195,0.000852,1.571097,0.784273
204013312.000000,-0.000677,-0.785026,-0.002448,-2.356195,0.000855,1.571099,0.784274
238265344.000000,-0.000682,-0.785026,-0.002450,-2.356195,0.000851,1.571099,0.784274
271847168.000000,-0.000680,-0.785026,-0.002450,-2.356193,0.000852,1.571099,0.784272
305942784.000000,-0.000679,-0.785029,-0.002448,-2.356195,0.000854,1.571099,0.784274
340096256.000000,-0.000684,-0.785021,-0.002453,-2.356195,0.000853,1.571101,0.784276
373989120.000000,-0.000680,-0.785026,-0.002448,-2.356195,0.000853,1.571099,0.784270
408204544.000000,-0.000685,-0.785023,-0.002450,-2.356193,0.000854,1.571099,0.784274
443723776.000000,-0.000681,-0.785023,-0.002448,-2.356198,0.000857,1.571098,0.784269
476816128.000000,-0.000676,-0.785031,-0.002448,-2.356190,0.000853,1.571100,0.784271
510871296.000000,-0.000682,-0.785026,-0.002453,-2.356198,0.000852,1.571102,0.784275
545025792.000000,-0.000682,-0.785024,-0.002454,-2.356195,0.000852,1.571099,0.784270
579139328.000000,-0.000682,-0.785026,-0.002450,-2.356198,0.000853,1.571099,0.784270
613301248.000000,-0.000674,-0.785023,-0.002448,-2.356198,0.000852,1.571099,0.784269
647407104.000000,-0.000679,-0.785023,-0.002453,-2.356193,0.000855,1.571100,0.784269
680984064.000000,-0.000685,-0.785028,-0.002448,-2.356193,0.000856,1.571099,0.784272
714917120.000000,-0.000685,-0.785026,-0.002450,-2.356193,0.000855,1.571098,0.784269
749081344.000000,-0.000681,-0.785026,-0.002450,-2.356198,0.000853,1.571098,0.784271
783226624.000000,-0.000677,-0.785023,-0.002448,-2.356193,0.000853,1.571098,0.784269
817073920.000000,-0.000679,-0.785023,-0.002453,-2.356195,0.000856,1.571098,0.784271
851353856.000000,-0.000677,-0.785023,-0.002450,-2.356195,0.000853,1.571099,0.784271
884903424.000000,-0.000685,-0.785032,-0.002451,-2.356195,0.000856,1.571099,0.784269
919271936.000000,-0.000679,-0.785026,-0.002450,-2.356193,0.000852,1.571099,0.784268
953271808.000000,-0.000679,-0.785023,-0.002450,-2.356198,0.000857,1.571099,0.784274
986740992.000000,-0.000679,-0.785036,-0.002450,-2.356190,0.000856,1.571094,0.784278
1021054720.000000,-0.000679,-0.785005,-0.002450,-2.356204,0.000852,1.571098,0.784277
